start,end,CellId,IMSI,RNTI,LCID,nTxPDUs,TxBytes,nRxPDUs,RxBytes,delay,stdDev,min,max,PduSize,stdDev,min,max
0.5,0.75,1,1,14,3,6,6324,6,6324,0.0187619,0.00278687,0.0159286,0.0219286,1054,0,1054,1054
0.5,0.75,1,2,2,3,6,6324,6,6324,0.0184286,0.00273861,0.0159286,0.0209286,1054,0,1054,1054
0.5,0.75,1,3,1,3,6,6324,6,6324,0.0184286,0.00273861,0.0159286,0.0209286,1054,0,1054,1054
0.5,0.75,1,4,13,3,6,6324,6,6324,0.0187619,0.00278687,0.0159286,0.0219286,1054,0,1054,1054
0.5,0.75,1,5,18,3,6,6324,6,6324,0.0187619,0.00278687,0.0159286,0.0219286,1054,0,1054,1054
0.5,0.75,1,6,3,3,6,6324,6,6324,0.0184286,0.00288097,0.0149286,0.0219286,1054,0,1054,1054
0.5,0.75,1,7,11,3,6,6324,6,6324,0.0184286,0.00288097,0.0149286,0.0219286,1054,0,1054,1054
0.5,0.75,1,8,12,3,6,6324,6,6324,0.0184286,0.00288097,0.0149286,0.0219286,1054,0,1054,1054
0.5,0.75,1,9,17,3,6,6324,6,6324,0.0187619,0.00278687,0.0159286,0.0219286,1054,0,1054,1054
0.5,0.75,1,10,4,3,6,6324,6,6324,0.0184286,0.00288097,0.0149286,0.0219286,1054,0,1054,1054
0.75,1,1,1,14,3,4,4216,4,4216,0.0179286,0.00294392,0.0149286,0.0209286,1054,0,1054,1054
0.75,1,1,2,2,3,4,4216,4,4216,0.0184286,0.00288675,0.0159286,0.0209286,1054,0,1054,1054
0.75,1,1,3,1,3,4,4216,4,4216,0.0184286,0.00288675,0.0159286,0.0209286,1054,0,1054,1054
0.75,1,1,4,13,3,4,4216,4,4216,0.0179286,0.00294392,0.0149286,0.0209286,1054,0,1054,1054
0.75,1,1,5,18,3,4,4216,4,4216,0.0179286,0.00294392,0.0149286,0.0209286,1054,0,1054,1054
0.75,1,1,6,3,3,4,4216,4,4216,0.0184286,0.00288675,0.0159286,0.0209286,1054,0,1054,1054
0.75,1,1,7,11,3,4,4216,4,4216,0.0184286,0.00288675,0.0159286,0.0209286,1054,0,1054,1054
0.75,1,1,8,12,3,4,4216,4,4216,0.0184286,0.00288675,0.0159286,0.0209286,1054,0,1054,1054
0.75,1,1,9,17,3,4,4216,4,4216,0.0179286,0.00294392,0.0149286,0.0209286,1054,0,1054,1054
0.75,1,1,10,4,3,4,4216,4,4216,0.0184286,0.00288675,0.0159286,0.0209286,1054,0,1054,1054
1,1.25,1,1,14,3,6,6324,6,6324,0.0184286,0.00273861,0.0159286,0.0209286,1054,0,1054,1054
1,1.25,1,2,2,3,6,6324,6,6324,0.0180952,0.00278687,0.0149286,0.0209286,1054,0,1054,1054
1,1.25,1,3,1,3,6,6324,6,6324,0.0180952,0.00278687,0.0149286,0.0209286,1054,0,1054,1054
1,1.25,1,4,13,3,6,6324,6,6324,0.0184286,0.00273861,0.0159286,0.0209286,1054,0,1054,1054
1,1.25,1,5,18,3,6,6324,6,6324,0.0184286,0.00273861,0.0159286,0.0209286,1054,0,1054,1054
