start,end,CellId,IMSI,RNTI,LCID,nTxPDUs,TxBytes,nRxPDUs,RxBytes,delay,stdDev,min,max,PduSize,stdDev,min,max
0.5,0.75,1,1,66,3,6,6324,6,6324,0.0349286,0.00889944,0.0249286,0.0439286,1054,0,1054,1054
0.5,0.75,1,2,3,3,6,6324,6,6324,0.0337619,0.00932559,0.0249286,0.0429286,1054,0,1054,1054
0.5,0.75,1,3,1,3,6,6324,6,6324,0.0332619,0.00877876,0.0249286,0.0419286,1054,0,1054,1054
0.5,0.75,1,4,78,3,6,6324,6,6324,0.0345952,0.00895917,0.0249286,0.0449286,1054,0,1054,1054
0.5,0.75,1,5,67,3,6,6324,6,6324,0.0349286,0.00889944,0.0249286,0.0439286,1054,0,1054,1054
0.5,0.75,1,6,77,3,6,6324,6,6324,0.0345952,0.00895917,0.0249286,0.0449286,1054,0,1054,1054
0.5,0.75,1,7,21,3,6,6324,6,6324,0.0342619,0.00877876,0.0259286,0.0429286,1054,0,1054,1054
0.5,0.75,1,8,69,3,6,6324,6,6324,0.0349286,0.00889944,0.0249286,0.0439286,1054,0,1054,1054
0.5,0.75,1,9,39,3,6,6324,6,6324,0.0347619,0.00932559,0.0259286,0.0439286,1054,0,1054,1054
0.5,0.75,1,10,76,3,6,6324,6,6324,0.0342619,0.00937372,0.0239286,0.0449286,1054,0,1054,1054
0.5,0.75,1,11,80,3,6,6324,6,6324,0.0345952,0.00895917,0.0249286,0.0449286,1054,0,1054,1054
0.5,0.75,1,12,55,3,6,6324,6,6324,0.0342619,0.00930949,0.0239286,0.0439286,1054,0,1054,1054
0.5,0.75,1,13,65,3,6,6324,6,6324,0.0347619,0.00913053,0.0239286,0.0439286,1054,0,1054,1054
0.5,0.75,1,14,71,3,6,6324,6,6324,0.0340952,0.00949561,0.0239286,0.0449286,1054,0,1054,1054
0.5,0.75,1,15,43,3,6,6324,6,6324,0.0352619,0.00877876,0.0269286,0.0439286,1054,0,1054,1054
0.5,0.75,1,16,57,3,6,6324,6,6324,0.0344286,0.00943928,0.0239286,0.0439286,1054,0,1054,1054
0.5,0.75,1,17,56,3,6,6324,6,6324,0.0344286,0.00943928,0.0239286,0.0439286,1054,0,1054,1054
0.5,0.75,1,18,22,3,6,6324,6,6324,0.0342619,0.00877876,0.0259286,0.0429286,1054,0,1054,1054
0.5,0.75,1,19,42,3,6,6324,6,6324,0.0352619,0.00877876,0.0269286,0.0439286,1054,0,1054,1054
0.5,0.75,1,20,54,3,6,6324,6,6324,0.0352619,0.00877876,0.0269286,0.0439286,1054,0,1054,1054
0.5,0.75,1,21,41,3,6,6324,6,6324,0.0347619,0.00932559,0.0259286,0.0439286,1054,0,1054,1054
0.5,0.75,1,22,44,3,6,6324,6,6324,0.0352619,0.00877876,0.0269286,0.0439286,1054,0,1054,1054
0.5,0.75,1,23,2,3,6,6324,6,6324,0.0337619,0.00932559,0.0249286,0.0429286,1054,0,1054,1054
0.5,0.75,1,24,72,3,6,6324,6,6324,0.0340952,0.00949561,0.0239286,0.0449286,1054,0,1054,1054
0.5,0.75,1,25,37,3,6,6324,6,6324,0.0342619,0.00877876,0.0259286,0.0429286,1054,0,1054,1054
0.5,0.75,1,26,40,3,6,6324,6,6324,0.0347619,0.00932559,0.0259286,0.0439286,1054,0,1054,1054
0.5,0.75,1,27,75,3,6,6324,6,6324,0.0340952,0.00949561,0.0239286,0.0449286,1054,0,1054,1054
0.5,0.75,1,28,70,3,6,6324,6,6324,0.0337619,0.00919601,0.0239286,0.0449286,1054,0,1054,1054
0.5,0.75,1,29,38,3,6,6324,6,6324,0.0347619,0.00932559,0.0259286,0.0439286,1054,0,1054,1054
0.5,0.75,1,30,20,3,6,6324,6,6324,0.0342619,0.00877876,0.0259286,0.0429286,1054,0,1054,1054
0.5,0.75,1,31,4,3,6,6324,6,6324,0.0337619,0.00932559,0.0249286,0.0429286,1054,0,1054,1054
0.5,0.75,1,32,64,3,6,6324,6,6324,0.0344286,0.00943928,0.0239286,0.0439286,1054,0,1054,1054
0.5,0.75,1,33,19,3,6,6324,6,6324,0.0337619,0.00932559,0.0249286,0.0429286,1054,0,1054,1054
0.75,1,1,1,66,3,4,4216,4,4216,0.0344286,0.00925563,0.0259286,0.0429286,1054,0,1054,1054
0.75,1,1,2,3,3,4,4216,4,4216,0.0339286,0.00996661,0.0239286,0.0439286,1054,0,1054,1054
0.75,1,1,3,1,3,4,4216,4,4216,0.0354286,0.00925563,0.0269286,0.0439286,1054,0,1054,1054
0.75,1,1,4,78,3,4,4216,4,4216,0.0354286,0.00925563,0.0269286,0.0439286,1054,0,1054,1054
0.75,1,1,5,67,3,4,4216,4,4216,0.0344286,0.00925563,0.0259286,0.0429286,1054,0,1054,1054
0.75,1,1,6,77,3,4,4216,4,4216,0.0354286,0.00925563,0.0269286,0.0439286,1054,0,1054,1054
0.75,1,1,7,21,3,4,4216,4,4216,0.0344286,0.00939858,0.0249286,0.0439286,1054,0,1054,1054
